name,Latitude,Longitude,IDPs (disaster-related),Refugees,Asylum Seekers,International Immigration,Emigrants
Austria,47.5162,14.5501,0,137928,22988,1738183,600740
Belgium,50.5039,4.4699,0,61182,26110,2005479,577463
Bulgaria,42.7339,25.4858,0,20671,748,184363,1683074
Croatia,45.1,15.2,41630,934,241,528056,1039526
Cyprus,35.1264,33.4299,107,12967,19607,190366,173210
Czechia,49.8175,15.473,43,2126,1354,540921,1026108
Denmark,56.2639,9.5018,0,37075,1833,717574,257025
Estonia,58.5953,25.0136,0,292,16,199277,206631
Finland,61.9241,25.7482,0,23618,6840,356052,311889
France,46.2276,2.2137,10279,419593,103754,8524876,2341908
Germany,51.1657,10.4515,2,1111350,295177,15762457,3855268
Greece,39.0742,21.8243,12667,91945,80784,1340456,1088507
Hungary,47.1625,19.5033,14,5834,54,584567,714420
Ireland,53.1424,-7.6921,51,8195,7466,871256,734317
Italy,41.8719,12.5674,1950,211446,57108,6386988,3258831
Latvia,56.8796,24.6032,0,618,21,239422,380010
Lithuania,55.1694,23.8813,0,1866,268,145184,658057
Luxembourg,49.8153,6.1296,0,2632,1800,298062,81757
Malta,35.9375,14.3754,0,9088,3721,114760,102793
Netherlands,52.1326,5.2913,4003,92725,13311,2358333,970403
Poland,51.9194,19.1451,422,12780,3307,817254,4825096
Portugal,39.3999,-8.2245,28,2335,469,1001963,2081419
Romania,45.9432,24.9668,287,3638,433,705310,3987093
Slovakia,48.669,19.699,0,977,40,197161,419651
Slovenia,46.1512,14.9955,0,806,460,277964,160197
Spain,40.4637,-3.7492,7798,81213,117975,6842202,1489823
Sweden,60.1282,18.6435,0,251070,22861,2003908,327581